vulnerability,capture_date,totalcount,exploit_source,exploit_type,exploit_platform,exploit_vendor,exploit_attack,vulnerable_cities,vulnerable_services,cvss_source,cvss3_basescore,cvss3_severity,cvss3_impactscore,cvss3_exploitabilityscore,cvss3_attackvector,cvss3_attackcomplexity,cvss3_privilegesrequired,cvss3_userinteraction,cvss3_scope,cvss3_confidentiality ,cvss3_integrity,cvss3_availability,cvss2_basescore,cvss2_severity,cvss2_impactscore,cvss2_exploitabilityscore,cvss2_attackvector,cvss2_attackcomplexity,cvss2_authentication,cvss2_confidentiality ,cvss2_integrity,cvss2_availability
CVE-2017-3626,10/22/2020,531,NVD,remote,Oracle Glassfish Server,Oracle,Unauthorised Access,"London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,3.1,LOW,1.4,1.6,Network,High,None,Required,Unchanged,Low,None,None,2.6,LOW,2.9,4.9,Network,High,None,Partial,None,None
CVE-2017-3730,10/22/2020,15,Shodan.io,dos,OpenSSL,Openssl,Denial of Service,,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-3731,10/22/2020,65861,"NVD,SecurityFocus","remote,dos",OpenSSL,Openssl,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-3732,10/22/2020,29558,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2017-3735,10/22/2020,981926,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,None,Low,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-3736,10/22/2020,715264,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,High,None,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-3737 ,10/22/2020,712990,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2017-3738,10/22/2020,722932,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2017-5340,10/22/2020,38008,NVD,"remote,dos,webapps",PHP,php,"Arbitrary Code Execution,Denial of Service","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-5487,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Low,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-5488,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-5489,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,"Cross-Site Request Forgery,Hijacking","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,05-Sep,2.8,Network,Low,None,Required,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2017-5490,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-5491,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,None,Low,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-5492,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,"Cross-Site Request Forgery,Hijacking","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,None,Required,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2017-5493,10/22/2020,297,NVD,"remote,webapps",Wordpress,Wordpress,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-5610,10/22/2020,179,NVD,"remote,webapps",Wordpress,Wordpress,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Low,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-5611,10/22/2020,179,NVD,"remote,webapps",Wordpress,Wordpress,SQL Injection,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-5612,10/22/2020,179,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-6377,10/22/2020,269,NVD,"remote,webapps",Drupal ,Drupal,"Unauthorised Access,Bypass","Tokyo,London,Dublin,Singapore,Sydney,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-6379,10/22/2020,269,NVD,"remote,webapps",Drupal ,Drupal,Cross-Site Request Forgery,"Tokyo,London,Dublin,Singapore,Sydney,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,5.9,1.6,Network,High,None,Required,Unchanged,High,High,High,5.1,MEDIUM,6.4,4.9,Network,High,None,Partial,Partial,Partial
CVE-2017-6381,10/22/2020,342,NVD,"remote,webapps",Drupal ,Drupal,Code Execution,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.1,HIGH,5.9,2.2,Network,High,None,None,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2017-6441,10/22/2020,1465,NVD,"remote,dos,webapps",PHP,php,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-6514,10/22/2020,1481,NVD,"remote,webapps",Wordpress,Wordpress,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Low,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-6814,10/22/2020,1481,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.4,MEDIUM,2.7,2.3,Network,Low,Low,Required,Changed,Low,Low,None,3.5,LOW,2.9,6.8,Network,Medium,Single,None,Partial,None
CVE-2017-6815,10/22/2020,1481,NVD,"remote,webapps",Wordpress,Wordpress,Redirect,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,5.8,MEDIUM,4.9,8.6,Network,Medium,None,Partial,Partial,None
CVE-2017-6816,10/22/2020,1481,Shodan.io,"remote,webapps",Apache Tomcat,Apache,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.9,MEDIUM,3.6,1.2,Network,Low,High,None,Unchanged,None,High,None,5.5,MEDIUM,4.9,8,Network,Low,Single,None,Partial,Partial
CVE-2017-6817,10/22/2020,1481,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.4,MEDIUM,2.7,2.3,Network,Low,Low,Required,Changed,Low,Low,None,3.5,LOW,2.9,6.8,Network,Medium,Single,None,Partial,None
CVE-2017-6818,10/22/2020,1481,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-6819,10/22/2020,1481,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Request Forgery,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,None,Required,Unchanged,None,None,High,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,None,Partial
CVE-2017-6919,10/22/2020,477,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,5.9,1.6,Network,High,Low,None,Unchanged,High,High,High,6,MEDIUM,6.4,6.8,Network,Medium,Single,Partial,Partial,Partial
CVE-2017-6920,10/22/2020,477,NVD,"remote,webapps",Drupal ,Drupal,Arbitrary Code Execution,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-6921,10/22/2020,611,NVD,"remote,webapps",Drupal ,Drupal,"Account Creation,Arbitrary Code Write","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,None,High,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-6922,10/22/2020,6977,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,High,High,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-6923,10/22/2020,791,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,High,High,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-6924,10/22/2020,694,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.4,HIGH,5.2,2.2,Network,High,None,None,Unchanged,High,High,High,5.8,MEDIUM,4.9,8.6,Network,Medium,None,Partial,Partial,None
CVE-2017-6925,10/22/2020,694,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-6926,10/22/2020,0,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.1,HIGH,5.2,2.8,Network,Low,Low,None,Unchanged,High,High,High,5.5,MEDIUM,4.9,8,Network,Low,Single,Partial,Partial,None
CVE-2017-6927,10/22/2020,6917,NVD,"remote,webapps",Drupal ,Drupal,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,Low,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-6928,10/22/2020,6917,NVD,"remote,webapps",Drupal ,Drupal,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,3.6,1.6,Network,High,Low,None,Unchanged,High,High,None,3.5,LOW,2.9,6.8,Network,Medium,Single,Partial,None,None
CVE-2017-6929,10/22/2020,7394,NVD,"remote,webapps","jQuery,Drupal ","jquery,drupal",Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,Low,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-6932,10/22/2020,6917,NVD,"remote,webapps",Drupal ,Drupal,Redirect,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.7,MEDIUM,2.7,1.6,Network,High,None,Required,Changed,Low,Low,Low,5.8,MEDIUM,4.9,8.6,Network,Medium,None,Partial,Partial,None
CVE-2017-7189,10/22/2020,41290,NVD,"remote,webapps",PHP,php,Misparses ,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,High,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-7269,10/22/2020,254227,Shodan.io,remote,Microsoft IIS,Microsoft,Buffer Overflow,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,10,HIGH,10,10,Network,Low,None,Complete,Complete,Complete
CVE-2017-7272,10/22/2020,1268,NVD,"remote,webapps",PHP,php,Server-Side Request Forgery,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.4,HIGH,4,2.8,Network,Low,None,Required,Changed,None,High,None,5.8,MEDIUM,4.9,8.6,Network,Medium,None,Partial,Partial,None
CVE-2017-7418,10/22/2020,1,NVD,remote,ProFTPD ,Proftpd,Unauthorised Access,,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.5,MEDIUM,3.6,1.8,Local,Low,Loe,None,Unchanged,None,High,None,2.1,LOW,2.9,3.9,Local,Low,None,None,Partial,None
CVE-2017-7484,10/22/2020,316212,NVD,remote,PostgreSQL,Postgresql,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-7485,10/22/2020,316210,NVD,remote,PostgreSQL,Postgresql,Man-in-The-Middle,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,High,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-7486,10/22/2020,345742,NVD,remote,PostgreSQL,Postgresql,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-7546,10/22/2020,322858,NVD,remote,PostgreSQL,Postgresql,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-7547,10/22/2020,322859,NVD,remote,PostgreSQL,Postgresql,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-7548,10/22/2020,275947,NVD,"remote,dos",PostgreSQL,Postgresql,"Unauthorised Access, Denial of Service","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,4,MEDIUM,2,8,Network,Low,Single,None,Partial,None
CVE-2017-7659,10/22/2020,520584,NVD,"remote,webapps",Apache HTTP Server,Apache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-7668,10/22/2020,3623100,NVD,"remote,dos,webapps",Apache HTTP Server,Apache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-7679,10/22/2020,5517158,Shodan.io,dos,"IOS,tvOS,watchOS",Apple,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
